"Block Information","Информация о блоке"
"URL Rewrite Information","Информация о правиле преобразования URL"
"Request Path","Путь запроса"
"Target Path","Целевой путь"
"Redirect Type","Тип перенаправления"
Description,Описание
Store,Магазин
"URL Rewrite Management","Управление правилами URL"
"Add URL Rewrite","Добавить правило URL"
Custom,Другой
"For category","Для категории"
"For product","Для товара"
"For CMS page","Для текстовой страницы"
"Create URL Rewrite:","Создать правило URL:"
"You deleted the URL rewrite.","Вы удалили правило URL."
"We can\'t delete URL Rewrite right now.","Мы не можем удалить правило URL в данный момент."
"URL Rewrites","Правила преобразования URL"
"The product you chose is not associated with the selected store or category.","Товар, который вы выбрали, не связан с выбранными магазином или категорией."
"The category you chose is not associated with the selected store.","Категория, которую вы выбрали, не связана с выбранным магазином."
"The URL Rewrite has been saved.","Правило URL сохранено."
"Something went wrong while saving URL Rewrite.","Что-то пошло не так во время сохранения правила URL."
"Do not use two or more consecutive slashes in the request path.","Не используйте подряд две или больше косых черты в пути запроса."
"Anchor symbol (#) is not supported in request path.","Символ (#) не поддерживается в пути запроса."
"Do not use two or more consecutive slashes in the url rewrite suffix.","Не используйте подряд две или больше косых черты в суффиксе правила url."
"Anchor symbol (#) is not supported in url rewrite suffix.","Символ (#) не поддерживается в суффиксе правила url."
No,Нет
"Temporary (302)","Временно (302)"
"Permanent (301)","Постоянно (301)"
"Request Path for Specified Store","Путь запроса для указанного магазина"
"URL key for specified store already exists.","Ключ URL для указанного магазина уже существует."
"Custom storage message","Custom storage message"
"Select Category","Выбрать категорию"
Action,Действие
Edit,Изменить
Back,Вернуться
Reset,Сбросить
"Delete Role","Удалить роль"
"Are you sure you want to do this?","Вы действительно хотите это сделать?"
"Save Role","Сохранить роль"
Roles,Роли
"Add New Role",Добавить
"Role Information","Информация о роли"
"Role Users","Пользователи с этой ролью"
"User ID","ИД пользователя"
"User Name","Имя пользователя"
"First Name",Имя
"Last Name",Фамилия
Email,Email
Status,Статус
Active,Активно
Inactive,"Не активно"
"Role Resources","Ресурсы роли"
"Role Info","Информация о роли"
"Role Name","Название роли"
"Current User Identity Verification","Проверка прав текущего пользователя"
"Your Password","Ваш пароль"
"Add New User",Добавить
Users,Пользователи
"Save User",Сохранить
"Delete User",Удалить
"Are you sure you want to revoke the user\'s tokens?","Вы действительно хотите аннулировать токены пользователя?"
"Force Sign-In","Force Sign-In"
"Edit User '%1'","Редактировать пользователя '%1'"
"New User","Новый пользователь"
"Account Information","Данные учётной записи"
"User Email",Email
Password,Пароль
"New Password","Новый пароль"
"Password Confirmation","Подтверждение пароля"
"Interface Locale","Язык интерфейса"
"This account is","Эта учётная запись"
"Account Status","Статус учётной записи"
"User Roles Information","Информация о ролях пользователя"
Assigned,Соответствует
Role,Роль
"User Information","Информация о пользователе"
"User Info","Информация о пользователе"
"User Role","Роль пользователя"
"Please correct the password reset token.","Пожалуйста, исправьте токен сброса пароля."
"Please specify the correct account and try again.","Пожалуйста, укажите правильную учётную запись и попробуйте снова."
"Your password reset link has expired.","Срок действия ссылки на изменение пароля истёк."
"We\'ll email you a link to reset your password.","Мы пришлём вам письмо со ссылкой для восстановления пароля."
"Please correct this email address:","Пожалуйста, исправьте этот адрес электронной почты:"
"Please enter an email address.","Пожалуйста, введите адрес электронной почты."
"You updated your password.","Вы обновили ваш пароль."
"Locked Users","Заблокированные пользователи"
"Unlocked %1 user(s).","Разблокировано пользователей: %1."
System,Система
Permissions,"Права доступа"
"You cannot delete your own account.","Вы не можете удалить свою учётную запись."
"You deleted the user.","Вы удалили пользователя."
"We can\'t find a user to delete.","Мы не можем найти пользователя для удаления."
"This user no longer exists.","Этот пользователь больше не существует."
"Edit User",Изменить
"You have revoked the user\'s tokens.","Вы аннулировали токены пользователя."
"We can\'t find a user to revoke.","Мы не можем найти пользователя для аннулирования."
"You cannot delete self-assigned roles.","Вы не можете удалить назначенную себе роль."
"You deleted the role.","Вы удалили роль."
"An error occurred while deleting this role.","Ошибка при удалении роли."
"Edit Role",Изменить
"New Role","Новая роль"
"This role no longer exists.","Эта роль больше не существует."
"You saved the role.","Вы сохранили роль."
"You have entered an invalid password for current user.","Вы ввели неправильный пароль текущего пользователя."
"An error occurred while saving this role.","Ошибка при сохранении роли."
"You saved the user.","Вы сохранили пользователя."
"A user with the same user name or email already exists.","Пользователь с таким именем или адресом электронной почты (email) уже существует."
Recommended,Рекомендуемая
Forced,Forced
"Sorry, but this password has already been used. Please create another.","Извините, но этот пароль уже использовался. Пожалуйста, создайте другой."
email,email
password,пароль
username,"имя пользователя"
"You did not sign in correctly or your account is temporarily disabled.","Вы ввели некорректные данные или ваша учётная запись временно заблокирована."
"You need more permissions to access this.","Вам нужно больше прав для доступа сюда."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","Поле Имя пользователя является обязательным."
"First Name is a required field.","Поле Имя является обязательным."
"Last Name is a required field.","Поле Фамилия является обязательным."
"Please enter a valid email.","Пожалуйста, введите правильный адрес электронной почты (email)."
"Password is required field.","Поле Пароль является обязательным."
"Your password must be at least %1 characters.","Пароль должен быть не менее %1 символов."
"Your password must include both numeric and alphabetic characters.","Пароль должен содержать как числа, так и буквы."
"Your password confirmation must match your password.","Подтверждение пароля должно совпадать с паролём."
"It\'s time to change your password.","Пришло время изменить ваш пароль."
"It\'s time to <a href=""%1"">change your password</a>.","Пришло время <a href=""%1"">изменить ваш пароль</a>."
"Your password has expired; please contact your administrator.","Ваш пароль устарел; пожалуйста, свяжитесь с вашим администратором."
"Password Help","Password Help"
"Enter your email address.  You will receive an email with a link to reset your password.","Введите адрес вашей электронной почты (email).  Вы получите письмо со ссылкой, позволяющей сменить пароль."
"Email address","Адрес электронной почты (email)"
"Retrieve Password","Получить пароль"
"Back to Sign in","Вернуться на страницу авторизации"
"Forgot your password?","Забыли пароль?"
"Reset a Password","Сбросить пароль"
"Confirm New Password","Подтвердите новый пароль"
"Reset Password","Сброс пароля"
"Roles Resources","Ресурсы ролей"
"Resource Access","Доступ к ресурсу"
Custom,Другой
All,Все
Resources,Ресурсы
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Внимание!\r\nЭто действие удалит этого пользователя из уже назначенной роли\r\nВы уверены?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Внимание!\r\nЭто действие удалит этих пользователей из уже назначенных ролей\r\nВы уверены?"
"%name,","%name,"
"There was recently a request to change the password for your account.","Мы получили запрос на изменение пароля Вашей учётной записи."
"If you requested this change, reset your password here:","Если вы делали запрос на изменение пароля, измените пароль по этой ссылке:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Если вы не делали запрос на изменение пароля, или решили не менять пароль, то просто проигнорируйте это письмо - пароль останется прежним."
"Thank you,","Спасибо,"
"Hello,","Здравствуйте,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","We have received a request to change the following information associated with your account at %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","If you have not authorized this action, please contact us immediately at %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Thanks,"
"All Users","Все пользователи"
"User Roles","Роли пользователя"
"User Notification Template","User Notification Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Если выбрано значение по умолчанию, шаблон будет зависеть от используемой темы оформления."
"Maximum Login Failures to Lockout Account","Максимальное кол-во неудачных попыток авторизации для блокировки учётной записи"
"We will disable this feature if the value is empty.","Мы отключим эту функцию, если значение будет пустым."
"Lockout Time (minutes)","Время блокировки (в минутах)"
"Password Lifetime (days)","Время жизни пароля (дней)"
"We will disable this feature if the value is empty. ","Мы отключим эту функцию, если значение будет пустым."
"Password Change","Смена пароля"
Unlock,Разблокировать
ID,ИД
Username,"Имя пользователя"
"Last login","Последняя авторизация"
Failures,"Неудачные попытки"
Unlocked,Разблокируется
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"Priority Mail","Priority Mail"
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup"
"Priority Mail Express","Priority Mail Express"
"Retail Ground","Retail Ground"
"Media Mail","Media Mail"
"Library Mail","Library Mail"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"Priority Mail Flat Rate Envelope","Priority Mail Flat Rate Envelope"
"Priority Mail Medium Flat Rate Box","Priority Mail Medium Flat Rate Box"
"Priority Mail Large Flat Rate Box","Priority Mail Large Flat Rate Box"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Box","Priority Mail Small Flat Rate Box"
"Priority Mail Padded Flat Rate Envelope","Priority Mail Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Hold For Pickup","Priority Mail Hold For Pickup"
"Priority Mail Large Flat Rate Box Hold For Pickup","Priority Mail Large Flat Rate Box Hold For Pickup"
"Priority Mail Medium Flat Rate Box Hold For Pickup","Priority Mail Medium Flat Rate Box Hold For Pickup"
"Priority Mail Small Flat Rate Box Hold For Pickup","Priority Mail Small Flat Rate Box Hold For Pickup"
"Priority Mail Flat Rate Envelope Hold For Pickup","Priority Mail Flat Rate Envelope Hold For Pickup"
"Priority Mail Gift Card Flat Rate Envelope","Priority Mail Gift Card Flat Rate Envelope"
"Priority Mail Gift Card Flat Rate Envelope Hold For Pickup","Priority Mail Gift Card Flat Rate Envelope Hold For Pickup"
"Priority Mail Window Flat Rate Envelope","Priority Mail Window Flat Rate Envelope"
"Priority Mail Window Flat Rate Envelope Hold For Pickup","Priority Mail Window Flat Rate Envelope Hold For Pickup"
"Priority Mail Small Flat Rate Envelope","Priority Mail Small Flat Rate Envelope"
"Priority Mail Small Flat Rate Envelope Hold For Pickup","Priority Mail Small Flat Rate Envelope Hold For Pickup"
"Priority Mail Legal Flat Rate Envelope","Priority Mail Legal Flat Rate Envelope"
"Priority Mail Legal Flat Rate Envelope Hold For Pickup","Priority Mail Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Padded Flat Rate Envelope Hold For Pickup","Priority Mail Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Regional Rate Box A","Priority Mail Regional Rate Box A"
"Priority Mail Regional Rate Box A Hold For Pickup","Priority Mail Regional Rate Box A Hold For Pickup"
"Priority Mail Regional Rate Box B","Priority Mail Regional Rate Box B"
"Priority Mail Regional Rate Box B Hold For Pickup","Priority Mail Regional Rate Box B Hold For Pickup"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Regional Rate Box C","Priority Mail Regional Rate Box C"
"Priority Mail Regional Rate Box C Hold For Pickup","Priority Mail Regional Rate Box C Hold For Pickup"
"First-Class Package Service","First-Class Package Service"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail International","Priority Mail International"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Priority Mail International Flat Rate Envelope","Priority Mail International Flat Rate Envelope"
"Priority Mail International Medium Flat Rate Box","Priority Mail International Medium Flat Rate Box"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail International Large Flat Rate Box","Priority Mail International Large Flat Rate Box"
"USPS GXG Envelopes","USPS GXG Envelopes"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Package International Service","First-Class Package International Service"
"Priority Mail International Small Flat Rate Box","Priority Mail International Small Flat Rate Box"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail International Gift Card Flat Rate Envelope","Priority Mail International Gift Card Flat Rate Envelope"
"Priority Mail International Window Flat Rate Envelope","Priority Mail International Window Flat Rate Envelope"
"Priority Mail International Small Flat Rate Envelope","Priority Mail International Small Flat Rate Envelope"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"Priority Mail International Legal Flat Rate Envelope","Priority Mail International Legal Flat Rate Envelope"
"Priority Mail International Padded Flat Rate Envelope","Priority Mail International Padded Flat Rate Envelope"
"Priority Mail International DVD Flat Rate priced box","Priority Mail International DVD Flat Rate priced box"
"Priority Mail International Large Video Flat Rate priced box","Priority Mail International Large Video Flat Rate priced box"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
Letter,Письмо
Flat,Flat
Parcel,Посылка
Variable,Переменная
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
Rectangular,Прямоугольный
Non-rectangular,"Не прямоугольные"
Regular,Регулярный
Large,Крупный
Yes,Да
No,Нет
"Not Required","Не требуется"
Required,Обязательно
"For some reason we can\'t retrieve tracking info right now.","For some reason we can\'t retrieve tracking info right now."
"Sorry, something went wrong. Please try again or contact us and we\'ll try to help.","Извините, что-то пошло не так. Пожалуйста, попробуйте снова или свяжитесь с нами и мы попробуем помочь."
track_summary,track_summary
"Empty response","Пустой ответ"
"Service type does not match","Service type does not match"
Merchandise,Merchandise
Sample,образец
Gift,Подарок
Documents,Документы
Return,Return
Other,Другой
None,Отсутствует
"Field ",Поле
" is required.",обязательно.
USPS,USPS
"Enabled for Checkout","Включено для заказа"
"Gateway URL","URL шлюза"
"Secure Gateway URL","Secure Gateway URL"
Title,Заголовок
"User ID","ИД пользователя"
Password,Пароль
Mode,Режим
"Packages Request Type","Packages Request Type"
Container,Контейнер
Size,Размер
Width,Ширина
Length,Длина
Height,Высота
Girth,Обхват
Machinable,Machinable
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Максимальный вес посылки (Пожалуйста, обратитесь к вашей службе доставки за этой информацией)"
"Calculate Handling Fee","Рассчитать стоимость обработки"
"Handling Applied","Handling Applied"
"Handling Fee","Плата за обработку"
"Allowed Methods","Разрешённые методы"
"Free Method","Бесплатный метод"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Displayed Error Message","Отображаемое сообщение об ошибке"
"Ship to Applicable Countries","Доставить в доступные страны"
"Ship to Specific Countries","Доставить в определённые страны"
Debug,Отладка
"Show Method if Not Applicable","Показывать метод, если не доступен"
"Sort Order","Порядок сортировки"
"Custom Variables","Настраиваемые переменные"
"Add New Variable","Добавить новую переменную"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Custom Variable ""%1""","Настраиваемая переменная ""%1"""
"New Custom Variable","Новая настраиваемая переменная"
Variable,Переменная
"Variable Code","Код переменной"
"Variable Name","Название переменной"
"Use Default Variable Values","Использовать значения переменных по умолчанию"
No,Нет
Yes,Да
"Variable HTML Value","HTML значение переменной"
"Variable Plain Value","Текстовое значение переменной"
"You deleted the custom variable.","Вы удалили настраиваемую переменную."
"You saved the custom variable.","Вы сохранили настраиваемую переменную."
"Variable Code must be unique.","Код переменной должен быть уникальным."
"Validation has failed.","Проверка не пройдена."
%1,%1
"Insert Variable...","Вставить переменную..."
"Variable ID","ИД переменной"
Name,Название
"Operation allowed only in HTTPS","Запрос разрешён только в HTTPS"
"Cannot perform GET operation with store code \'all\'","Невозможно выполнить GET запрос с кодом магазина \'all\'"
"Request does not match any route.","Запрос (request) не соответствует ни одному маршруту (route)."
"Not allowed parameters: %1. Please use only %2 and %3.","Неразрешённые параметры: %1. Пожалуйста, используйте только %2 и %3."
"Requested service is not available: ""%1""","Запрошенный сервис недоступен: ""%1"""
"Operation ""%1"" not found.","Запрос ""%1"" не найден."
"SOAP extension is not loaded.","Расширение SOAP не загружено."
"Invalid XML","Некорректный XML"
"Invalid XML: Detected use of illegal DOCTYPE","Некорректный XML: Обнаружено использование неправильного DOCTYPE"
message,сообщение
Message,сообщение
"Soap fault reason.","Soap fault reason."
"Manage Customers","Управление клиентами"
"Create Customer","Создать клиента"
"Edit Customer","Редактировать клиента"
"Get Customer","Get Customer"
"Delete Customer","Удалить клиента"
"Magento Web API","Magento Веб API"
"SOAP Settings","SOAP настройки"
"Default Response Charset","Кодировка ответа по умолчанию"
"If empty, UTF-8 will be used.","Если значение пустое, то будет использовано UTF-8."
"Web Services Configuration","Конфигурация Веб-сервисов"
"REST and SOAP configurations, generated WSDL file","REST and SOAP configurations, generated WSDL file"
"Add Tax","Добавить налог"
"Delete Tax","Удалить налог"
"All Websites","Все сайты"
FPT,FPT
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"When specifying fixed product tax regions within the same country, select either unique region names or all ('*')","When specifying fixed product tax regions within the same country, select either unique region names or all ('*')"
"Including FPT only","Включая только FPT"
"Including FPT and FPT description","Включая FPT и описание FPT"
"Excluding FPT. Including FPT description and final price","Исключая FPT. Включая описание FPT и конечную цену"
"Excluding FPT","Исключая FPT"
label_value,label_value
frontend_label,frontend_label
"Fixed Product Tax","Фиксированный налог товара (FPT)"
Country/State,Страна/регион
Tax,Налог
Website,Сайт
Action,Действие
"Excl. Tax","Без налога"
Total,Итого
"Incl. Tax","Включая налог"
"Total Incl. Tax","Всего, включая налог"
"Final Price","Окончательная цена"
"Fixed Product Taxes","Фиксированные налоги товара"
"Enable FPT","Включить FPT"
"Display Prices In Product Lists","Отображать цены в списке товаров"
"Display Prices On Product View Page","Отображать цены на странице просмотра товара"
"Display Prices In Sales Modules","Отображать цены в модулях оплаты"
"Display Prices In Emails","Отображать цены в письмах"
"Apply Tax To FPT","Применить налог к FPT"
"Include FPT In Subtotal","Включить FPT в предварительный итог"
"Widget Insertion","Вставка виджета"
"Insert Widget","Вставить виджет"
label,заголовок
Choose...,Выбрать...
Close,закрыть
"Not Selected","Не выбрано"
Widget,Виджет
"Widget Type","Тип виджета"
"-- Please Select --","-- Выберите --"
"Manage Widget Instances","Управление экземплярами виджетов"
"Add Widget","Добавить виджет"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Widget ""%1""","Виджет ""%1"""
"New Widget Instance","Новый экземпляр виджета"
"Custom Layouts","Настраиваемый макет"
"Page Layouts","Макеты страницы"
"Please Select Container First","Пожалуйста, выберите сначала контейнер"
"Storefront Properties","Свойства пользовательской части"
Type,Тип
"Design Package/Theme","Дизайн Пакет/Тема"
"Widget Title","Заголовок виджета"
"Assign to Store Views","Назначить витринам"
"Sort Order","Порядок сортировки"
"Sort Order of widget instances in the same container","Порядок сортировки экземпляров виджета в одном контейнере"
"Layout Updates","Обновления макета"
Categories,Категории
"Anchor Categories","Зафиксированные категории"
"Non-Anchor Categories","Не зафиксированные категории"
"All Product Types","Все типы товаров"
Products,Товары
"Generic Pages","Generic страницы"
"All Pages","Все страницы"
"Specified Page","Указанная страница"
"Add Layout Update","Добавить обновление макета"
"Remove Layout Update","Удалить обновление макета"
"Widget Options","Параметры виджета"
Settings,Настройки
"Design Theme","Тема оформления"
Continue,Продолжить
"Please specify a Widget Type.","Пожалуйста, укажите тип виджета."
CMS,CMS
"Please specify a correct widget.","Пожалуйста, укажите правильный виджет."
"The widget instance has been deleted.","Экземпляр виджета удалён."
"New Widget","Новый виджет"
Widgets,Виджеты
"The widget instance has been saved.","Экземпляр виджета сохранён."
name,Название
description,Описание
"We cannot create the widget instance because it is missing required information.","Мы не можем создать экземпляр виджета, так как у него не хватает необходимой информации."
None,Отсутствует
%1,%1
Container,Контейнер
Template,Шаблон
All,Все
"Specific %1","Определённый %1"
"Open Chooser",Выбрать
Apply,Применить
Page,Страница
"Orders and Returns","Заказы и возвраты"
"Orders and Returns Search Form","Заказы и возвраты. Форма поиска"
"Anchor Custom Title","Заголовок ссылки"
"CMS Page Link Block Template","CMS ссылка на страницу. Block шаблон"
"CMS Page Link Inline Template","CMS ссылка на страницу. Inline шаблон"
"Display a Link to Loading a Spreadsheet","Display a Link to Loading a Spreadsheet"
"Defines whether a link to My Account","Defines whether a link to My Account"
"Link Text","Текст ссылки"
"The text of the link to the My Account &gt; Order by SKU page","Текст ссылки на страницу Моя учетная запись &gt; Заказ по артикулу"
"Load a list of SKUs","Загрузить список артикутов (sku)"
Product,Товар
"Select Product...","Выберите товар..."
Conditions,Условия
"Widget ID","ИД виджета"
"Wish List","Лист пожеланий"
"Wish List Sharing","Публикация листа пожеланий"
"My Wish List","Мой лист пожеланий"
"%1's Wish List","Лист пожеланий пользователя %1"
"Page not found.","Страница не найдена."
"We can\'t specify a product.","Мы не можем определить товар."
"We can\'t add the item to Wish List right now: %1.","Мы не можем добавить позицию в лист пожеланий в данный момент: %1."
"We can\'t add the item to Wish List right now.","Мы не можем добавить позицию в лист пожеланий в данный момент."
"You added %1 to your shopping cart.","Вы добавили %1 в вашу корзину покупок."
"This product(s) is out of stock.","Этих товаров в данный момент нет в наличии."
"We can\'t add the item to the cart right now.","Мы не можем добавить позицию в корзину в данный момент."
"We can\'t load the Wish List item right now.","Мы не можем загрузить позицию листа пожеланий в данный момент."
"We can\'t configure the product right now.","Мы не можем настроить этот товар в данный момент."
"The requested cart item doesn\'t exist.","Запрошенная позиция корзины не существует."
"%1 has been moved to your wish list.","%1 перемещён в ваш лист пожеланий."
"We can\'t move the item to the wish list.","Мы не можем переместить позицию в лист пожеланий."
"We can\'t delete the item from Wish List right now because of an error: %1.","Мы не можем удалить эту позицию из листа пожеланий в данный момент из-за ошибки: %1."
"We can\'t delete the item from the Wish List right now.","Мы не можем удалить позицию из листа пожеланий в данный момент."
"Message length must not exceed %1 symbols","Длина сообщения не должна превышать указанное кол-во символов: %1."
"Please enter an email address.","Пожалуйста, введите адрес электронной почты."
"This wish list can be shared %1 more times.","Этот лист пожеланий может быть опубликован ещё %1 раз(а)."
"Please enter a valid email address.","Введите правильный адрес электронной почты."
"Your wish list has been shared.","Ваш лист пожеланий опубликован."
"We can\'t delete item from Wish List right now.","Мы не можем удалить позицию из листа пожеланий в данный момент."
"Can\'t save description %1","Невозможно сохранить описание %1"
"Can\'t update wish list","Невозможно обновить лист пожеланий"
"%1 has been updated in your Wish List.","%1 обновлён в вашем листе пожеланий."
"We can\'t update your Wish List right now.","Мы не можем обновить ваш лист пожеланий в данный момент."
"The requested Wish List doesn\'t exist.","Запрошенный лист пожеланий не существует."
"We can\'t create the Wish List right now.","Мы не можем создать лист пожеланий в данный момент."
"%1 items","%1 шт."
"1 item","1 шт."
Comment,Комментарий
"Display number of items in wish list","Показывать кол-во позиций в листе пожеланий"
"Display item quantities","Показывать количество товаров"
"An item option with code %1 already exists.","Параметр позиции с кодом %1 уже существует."
"We can\'t specify a wish list.","Мы не можем определить лист пожеланий."
"Cannot specify product.","Невозможно определить товар."
"Product is not salable.","Товар не доступен для продажи."
"Invalid item option format.","Неверный формат параметров позиции."
"%1 for ""%2"".","%1 для ""%2""."
"We can\'t add this item to your shopping cart right now.","Мы не можем добавить эту позицию в вашу корзину покупок в данный момент."
"We couldn\'t add the following product(s) to the shopping cart: %1.","Мы не смогли добавить в корзину покупок следующие товары: %1."
"We can\'t update the Wish List right now.","Мы не можем обновить лист пожеланий в данный момент."
"%1 product(s) have been added to shopping cart: %2.","Товар %2 (%1 шт.) добавлен в корзину покупок."
Comment:,Комментарий:
"We cannot retrieve the Wish List.","Мы не можем получить лист пожеланий."
"%1\'s Wishlist","Лист пожеланий пользователя %1"
"We can\'t specify a wish list item.","Мы не можем определить позицию листа пожеланий."
"The product does not exist.","Товар больше не существует."
"Test Phrase","Тестовая фраза"
message,сообщение
Message,сообщение
error-message,error-message
LocalizedException,LocalizedException
"Product Exception.","Product Exception."
"Localized Exception.","Localized Exception."
"Are you sure you want to remove this item?","Вы действительно хотите удалить эту позицию?"
"Share Wish List","Опубликовать лист пожеланий"
"Add All to Cart","Добавить все в корзину"
"Update Wish List","Обновить лист пожеланий"
"Move to Wishlist","Отложить в лист пожеланий"
"View Product","Просмотреть товар"
Qty,Кол-во
"Add to Cart","Добавить в корзину"
Availability,Доступность
"In stock","Есть в наличии"
"Out of stock","Нет в наличии"
Edit,Изменить
"Remove Item","Удалить позицию"
"Remove item","Удалить позицию"
"Add to Compare","Добавить в сравнение"
"This Wish List has no Items","В этом листе пожеланий нет товаров"
"See Details",Подробнее
"Options Details",Параметры
"RSS link to %1's wishlist","RSS ссылка на лист пожеланий %1"
"RSS Feed","RSS канал"
Product,Товар
"Add to Wish List",Хочу!
Back,Вернуться
"Wish List is empty now.","Лист пожеланий очищен."
"* Required Fields","* Обязательные поля"
"Sharing Information","Информация для публикации"
"Email addresses, separated by commas","Адреса электронной почты (emails), разделённые запятыми"
"Check here to link an RSS feed to your Wish List.","Нажмите сюда, если хотите добавить ссылку на RSS канал для вашего листа пожеланий."
"Last Added Items","Последние добавленные позиции"
"Remove This Item","Удалить позицию"
"Go to Wish List","Перейти в лист пожеланий"
"You have no items in your wish list.","В листе пожеланий пусто."
"Are you sure you want to remove this product from your Wish List?","Вы действительно хотите удалить этот товар из вашего листа пожеланий?"
"%customer_name wants to share this Wish List from %store_name with you:","Пользователь %customer_name магазина %store_name хочет поделиться с вами своим листом пожеланий:"
"Message from %customer_name:","Сообщение от %customer_name:"
"View all Wish List items","Просмотреть весь список в листе пожеланий"
"Wish List Section","Лист пожеланий"
"Share Options","Параметры публикации"
"Email Sender","Отправитель письма"
"Email Template","Шаблон письма"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Если выбрано значение по умолчанию, шаблон будет зависеть от используемой темы оформления."
"Max Emails Allowed to be Sent","Максимально разрешённое к отправке количество писем"
"Email Text Length Limit","Ограничение длины текста письма"
"General Options","Общие параметры"
Enabled,Включено
"My Wish List Link","Мой лист пожеланий. Ссылка"
"Display Wish List Summary","Отображение резюме листа пожеланий"
"Enable RSS","Включить RSS"
"No Items Found","Позиции не найдены"
"Product Name","Название товара"
"User Description","Описание пользователя"
Quantity,Количество
"Add Locale",Добавлено
"Add Date","Добавить дату"
"Days in Wish List","Дней в листе пожеланий"
Action,Действие
Configure,Настроить
Delete,Удалить
"Product Details and Comment","Информация о товаре и комментарии"
Summary,Резюме
"Account Dashboard","Панель управления"
"Account Information","Данные учётной записи"
"Address Book","Адресная книга"
Menu,Меню
Account,"Учётная запись"
Settings,Настройки
"Now Shopping by","Выбранные параметры"
Previous,Предыдущий
Remove,Удалить
"Remove This Item","Удалить позицию"
"Shop By",Фильтр
"Clear All","Очистить все"
"Shopping Options","Доступные параметры"
"%name,","%name,"
"Welcome to %store_name.","Добро пожаловать на сайт %store_name."
